,Spam,Message
0,0,recharge done on          pm mrp rs    pf rs    stax rs    talktime rs    bal rs    transid  
1,0,recharge successful on       at    am mrp  rs     stax  rs    talktime  rs    transid  
2,0,recharge successful on       at    am mrp  rs     stax  rs    talktime  rs    transid   all calls      p secfor  day
3,0,you have   missed call s  from     last call            
4,0,you have   missed call s  from     last call            
5,0,"you have   missed call s  from     last call            
for top hellotunes  jobs on phone or astrology  call    tollfree "
6,0,you have   missed call s  from     last call            
7,0,happy birthday dhankhar
8,0,"so folks  it seems that no one has been able to complete the entire hunt  so all are requested to report at design studio  hobbies club at     pm to decide the winner  people winner would be decided on the basis of the least time taken so rush to design studio
 regards design studio"
9,0,"you have   missed call s  from     last call            
for top hellotunes  emergency or music masti call    tollfree "
10,0,you have   missed call s  from     last call            
11,0,you have   missed call s  from     last call            
12,0,you have   missed call s  from     last call            
13,0,"you have   missed call s  from     last call            
for top hellotunes  airtel friend locator or ndtv news call    tollfree "
14,0,you re receiving facebook notifications to help you stay connected with friends  reply  stop  to turn them off 
15,0,you re receiving facebook notifications to help you stay connected with friends  reply  stop  to turn them off 
16,0,  is your facebook password reset code or reset your password here   text  stop  to   or go to  
17,0,"use   as your password for facebook for android 

text  stop  to   or go to  "
18,0,"you have   missed call s  from     last call            
for top hellotunes  contest or airtel radio  call    tollfree "
19,0,"pnr   train   doj       cc rk ndls dep     
aarush gupta wl    
fare     sc     pgchgs
"
20,0,profile address chandigarh ka hi hai  profile name  poonam gupta  ticket booked on my name
21,0,k
22,0,"pnr  
train       ndls janshatabdi
dt        
boardingstn   rk
reservedupto   ndls 
class   cc
p    curr stat   c      
chartstatus   prepared
coach position    
schd dep time         hrs 
 to know the current position of your train  send spot  train number  to   "
23,0,k
24,0,"   

driver mukesh"
25,0,"you have   missed call s  from     last call            
for top hellotunes  airtel friend locator or ndtv news call    tollfree "
26,0,bhai aa ja court
27,0,match h tera  
28,0,hardik ko b le aana
29,0,"you have   missed call s  from     last call            
for top hellotunes  emergency or music masti call    tollfree "
30,0,meeting
31,0,"you have   missed call s  from     last call            
for top hellotunes  contest or airtel radio  call    tollfree "
32,0,recharge successful on       at    pm mrp  rs     stax  rs    talktime  rs    transid   free local std all mobile   landline calls    gb on  g handset    gb for others  t c apply  validity  days  for detailed t c  click on www airtel in tnc
33,0,"you have   missed call s  from     last call            
for top hellotunes  airtel friend locator or ndtv news call    tollfree "
34,0,"you have   missed call s  from     last call            
for top hellotunes  airtel friend locator or ndtv news call    tollfree "
35,0,"you have   missed call s  from     last call            
for top hellotunes  jobs on phone or astrology  call    tollfree "
36,0,"you have   missed call s  from     last call            
for top hellotunes  airtel friend locator or ndtv news call    tollfree "
37,0,"you have   missed call s  from     last call            
for top hellotunes  airtel call manager or live aarti call    tollfree "
38,0,ysrxczkm is your yahoo account key
39,0,"you have   missed call s  from     last call            
for top hellotunes  airtel call manager or live aarti call    tollfree "
40,0,"you have   missed call s  from     last call            
for top hellotunes  emergency or music masti call    tollfree "
41,0,recharge successful on       at    am mrp  rs     stax  rs    talktime  rs    transid   free local std all mobile   landline calls    gb on  g handset    gb for others  t c apply  validity  days 
42,0,"pnr   train   doj       cc cdg ndls dep     
aarush gupta c    
fare   sc     pg ins"
43,0,recharge done on          pm mrp rs    pf rs    stax rs    talktime rs    bal rs    transid  full month internet  dial      
44,0,"you have   missed call s  from     last call            
for top hellotunes  emergency or music masti call    tollfree "
45,0,"you have   missed call s  from     last call            
for top hellotunes  airtel call manager or live aarti call    tollfree "
46,0,"pnr   train   doj       cc cdg ndls dep     
aarush gupta c    
fare   sc     pg ins
"
47,0,"you have   missed call s  from     last call            
for top hellotunes  airtel call manager or live aarti call    tollfree "
48,0,"you have   missed call s  from     last call            
for top hellotunes  airtel call manager or live aarti call    tollfree "
49,0,"you have   missed call s  from     last call            
for top hellotunes  emergency or music masti call    tollfree "
50,0,"you have   missed call s  from     last call            
for top hellotunes  airtel friend locator or ndtv news call    tollfree "
51,0,"you have   missed call s  from     last call            
for top hellotunes  airtel call manager or live aarti call    tollfree "
52,0,"whatsapp code     

you can also tap on this link to verify your phone  v whatsapp com  "
53,0,hi  your music pin is    keep grooving with wynk   
54,0,use   as your login otp  otp is confidential  paytm never calls you asking for otp  sharing it with anyone gives them full access to your paytm wallet 
55,0,we have received a paytm login request from a new phone at     pm    july if you did not attempt this  please raise a query at paytm com care or call us at    
56,0,qdhpepn  is your code to reset your twitter password  don t reply to this message with your code 
57,0,truecaller code  
58,0,your unique verification code for olacabs is    thank you 
59,0,use   as your login code for saavn   account kit by facebook 
60,0,  is your otp for servify  this otp is valid for   seconds  do not share this otp with anyone for security reasons  we look forward to serving you 
61,0,use   as your login otp  otp is confidential  paytm never calls you asking for otp  sharing it with anyone gives them full access to your paytm wallet 
62,0,paid rs     to thesouledstore at     pm  wallet txn id   avail  bal rs    
63,0,your mi account verification code is    this otp expires in   day 
64,0,you paid uber rs      avail exclusive rs   cashback on your  st flight booking on paytm  use promo  flyuber   
65,0,your    account was renamed to aarush  outlook com  if this isn t right  visit  
66,0,use   as microsoft account security code
67,0,"whatsapp code     

you can also tap on this link to verify your phone  v whatsapp com  "
68,0,"whatsapp code     

you can also tap on this link to verify your phone  v whatsapp com  "
69,0,"whatsapp code     

you can also tap on this link to verify your phone  v whatsapp com  "
70,0,  is your otp for ccd app registration      otp valid for   minutes but why wait  share coffee but not otp with others 
71,0,acta xwdg eqmogbnr uvs   fyw  d  d
72,0,paymateivrtrans dea heyzvsqyqtxiyojw tahq  d  d
73,0,   e  
